Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:31:37,2023-11-17 22:31:38,0.721s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:38,2023-11-17 22:31:40,2.017s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:31:40,2023-11-17 22:31:41,0.666s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:41,2023-11-17 22:31:43,2.010s,PASSED
"click(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:31:43,2023-11-17 22:31:43,0.554s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:43,2023-11-17 22:31:45,2.015s,PASSED
"mouseOver(findTestObject(""EYM IO - Connection Page/Traemand/Traemand Sandbox/SalesforceTokenBased""))",Chrome 119.0.0.0,,,2023-11-17 22:31:45,2023-11-17 22:31:46,0.575s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:46,2023-11-17 22:31:48,2.014s,PASSED
"click(findTestObject(""EYM IO - Connection Page/Traemand/Traemand Sandbox/SalesforceTokenBased""))",Chrome 119.0.0.0,,,2023-11-17 22:31:48,2023-11-17 22:31:49,0.447s,PASSED
waitForJQueryLoad(30),Chrome 119.0.0.0,,,2023-11-17 22:31:49,2023-11-17 22:31:49,0.066s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-17 22:31:49,2023-11-17 22:31:52,3.014s,PASSED
"verifyElementPresent(findTestObject(""EYM IO - Dashboard Page/Connection - Successful""), 0)",Chrome 119.0.0.0,,,2023-11-17 22:31:52,2023-11-17 22:31:52,0.430s,PASSED
"verifyTextPresent(""Connection Successful."", false)",Chrome 119.0.0.0,,,2023-11-17 22:31:52,2023-11-17 22:31:52,0.389s,PASSED
"if (verifyTextPresent(""Connection Successful."", true) == true)",Chrome 119.0.0.0,,,2023-11-17 22:31:52,2023-11-17 22:31:54,1.457s,PASSED
